matrix dimension,Strassen,Standard
360,137,234
360,126,232
360,126,204
370,136,253
370,141,253
370,139,254
370,135,250
370,138,215
380,162,273
380,150,266
380,152,276
380,157,272
380,151,275
390,163,258
390,166,279
390,179,274
390,166,266
390,175,271
400,173,282
400,175,303
400,177,290
400,173,312
400,173,288
410,196,320
410,192,313
410,194,319
410,198,321
410,194,324
420,206,345
420,209,338
420,210,331
420,212,331
420,219,333
430,239,367
430,225,365
430,232,355
430,232,363
430,237,364
440,247,416
440,238,397
440,244,392
440,242,383
440,235,409
450,259,480
450,255,461
450,255,469
450,262,480
450,265,485
460,277,495
460,274,506
460,275,510
460,272,504
460,270,485
470,292,512
470,292,529
470,292,512
470,297,534
470,311,532
480,326,573
480,324,556
480,313,560
480,320,579
480,314,566
490,333,584
490,331,595
490,343,585
490,333,608
490,333,592
500,361,626
500,359,666
500,355,633
500,365,649
500,360,640
510,374,695
510,378,703
510,384,703
510,377,658
510,381,680
520,396,685
520,402,698
520,397,674
520,410,772
520,408,834
530,457,824
530,468,738
530,417,718
530,424,729
530,435,720
540,456,764
540,434,804
540,467,775
540,440,769
540,445,762
550,458,817
550,471,823
550,457,810
550,457,822
550,467,802
560,479,874
560,503,872
560,485,870
560,501,894
560,476,850
570,513,926
570,501,903
570,495,910
570,511,899
570,496,935
580,531,998
580,534,965
580,525,1016
580,544,1046
580,531,965
590,557,1029
590,567,1037
590,570,1023
590,551,1007
590,553,1018
600,568,1054
600,583,1065
600,587,1092
600,594,1130
600,572,1081
610,603,1186
610,593,1142
610,604,1118
610,611,1159
610,599,1124
620,637,1176
620,624,1222
620,626,1217
620,639,1207
620,639,1197
630,660,1243
630,662,1225
630,671,1316
630,662,1296
630,662,1269
640,679,1325
640,690,1303
640,686,1307
640,682,1374
640,684,1380
650,710,1372
650,715,1392
650,723,1372
650,729,1367
650,717,1378
660,744,1435
660,765,1448
660,749,1451
660,743,1449
660,754,1435
670,800,1540
670,787,1527
670,781,1497
670,795,1498
670,799,1546
680,818,1587
680,803,1576
680,803,1592
680,815,1608
680,820,1604
690,843,1645
690,844,1694
690,853,1714
690,847,1649
690,840,1643
700,878,1757
700,892,1758
700,871,1729
700,867,1744
700,881,1762
710,893,1814
710,885,1799
710,895,1816
710,914,1816
710,907,1800
720,931,1904
720,930,1978
720,932,1893
720,920,1872
720,921,1917
730,973,1988
730,950,1956
730,956,2065
730,957,2051
730,955,1971
740,996,2113
740,1003,2125
740,996,2050
740,994,2143
740,1010,2089
750,1045,2210
750,1048,2239
750,1052,2233
750,1049,2137
750,1052,2158
760,1111,2235
760,1100,2258
760,1099,2339
760,1103,2280
760,1097,2342
770,1151,2419
770,1148,2429
770,1142,2381
770,1157,2635
770,1248,2485
780,1237,2546
780,1210,2483
780,1187,2523
780,1186,2454
780,1198,2537
790,1242,2647
790,1243,2728
790,1277,2617
790,1259,2576
790,1223,2597
800,1290,2722
800,1272,2768
800,1263,2709
800,1269,2714
800,1265,2705
810,1433,2808
810,1448,2865
810,1467,2801
810,1445,2834
810,1469,2872
820,1472,2965
820,1517,2986
820,1477,2933
820,1495,2944
820,1502,2917
830,1541,3087
830,1546,3101
830,1559,3072
830,1551,3012
830,1542,3079
840,1588,3198
840,1570,3188
840,1582,3240
840,1589,3233
840,1594,3166
850,1620,3607
850,1646,3314
850,1647,3334
850,1625,3342
850,1661,3348
860,1687,3482
860,1707,3462
860,1695,3473
860,1743,3397
860,1776,3490
870,1898,3834
870,1871,3646
870,1855,3735
870,1908,3597
870,1870,3619
880,1906,3754
880,1873,3813
880,1857,3746
880,1882,3831
880,1858,3969
890,1945,3908
890,1935,3934
890,1882,3893
890,1885,4173
890,1863,3846
900,1923,4181
900,1948,4195
900,1998,4467
900,2119,4819
900,1944,4504
910,2087,4665
910,2005,4294
910,2069,4437
910,2068,4258
910,2091,4475
920,2147,4493
920,2142,4654
920,2067,4582
920,2028,4599
920,2061,4568
930,2111,4830
930,2096,4864
930,2087,4813
930,2109,4802
930,2138,4807
940,2160,5005
940,2157,5011
940,2204,5000
940,2219,4994
940,2171,5027
950,2456,5190
950,2517,5169
950,2518,5191
950,2500,5180
950,2478,5215
960,2490,5356
960,2559,5379
960,2542,5344
960,2531,5362
960,2532,5360
970,2598,6636
970,2656,6155
970,2653,6050
970,2654,6210
970,2653,6235
980,2652,8636
980,2687,6245
980,2713,6414
980,2668,6433
980,2789,6369
990,2845,7964
990,2859,6995
990,3004,10883
990,2821,9321
990,2783,6627
