matrix dimension,Strassen,Standard
960,2469,5409
960,2484,5384
960,2457,5411
960,2468,5418
970,2574,6068
970,2636,6621
970,2638,5809
970,2609,5802
970,2603,5950
980,2690,6195
980,2765,6180
980,2672,6018
980,2712,5940
980,2679,7126
990,2835,6480
990,2732,6577
990,2742,6563
990,2727,6406
990,2721,6591
