matrix dimension,Strassen,Standard
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
16,1,1
16,1,0
16,1,0
16,1,0
16,1,0
32,4,3
32,3,3
32,3,2
32,3,2
32,3,2
64,12,11
64,12,11
64,13,11
64,12,10
64,12,12
128,51,43
128,49,44
128,48,45
128,49,41
128,51,43
256,219,188
256,211,195
256,223,201
256,217,191
256,206,196
512,953,960
512,958,949
512,951,951
512,962,961
512,952,984
1024,4642,5304
1024,4648,5348
1024,4624,5329
1024,4634,5374
1024,4734,5338
2048,23930,45251
2048,24102,44445
2048,23951,44954
2048,23905,46327
2048,23833,43967
