matrix dimension,Strassen,Standard
360,48,236
360,47,217
360,48,210
370,48,253
370,49,248
370,50,249
370,49,258
370,54,244
380,53,280
380,52,271
380,53,275
380,53,279
380,52,279
390,58,274
390,57,276
390,56,278
390,60,270
390,57,270
400,64,288
400,61,286
400,61,302
400,60,293
400,61,286
410,83,322
410,82,324
410,85,313
410,86,314
410,87,318
420,87,334
420,87,330
420,87,345
420,89,348
420,88,349
430,94,360
430,94,362
430,95,374
430,92,371
430,99,366
440,99,399
440,98,396
440,100,389
440,98,411
440,98,383
450,103,443
450,108,469
450,106,445
450,104,477
450,104,455
460,109,495
460,110,500
460,113,516
460,109,529
460,109,485
470,114,518
470,119,549
470,116,532
470,113,534
470,114,550
480,124,583
480,123,575
480,122,550
480,120,561
480,121,577
490,132,596
490,127,622
490,126,621
490,127,632
490,132,631
500,135,684
500,134,640
500,140,661
500,135,647
500,133,623
510,140,698
510,137,676
510,146,675
510,136,661
510,138,699
520,149,696
520,150,730
520,152,678
520,147,677
520,148,679
530,154,758
530,154,723
530,153,733
530,148,718
530,153,736
540,162,780
540,160,764
540,164,774
540,158,775
540,162,746
550,163,797
550,161,824
550,165,809
550,163,804
550,162,822
560,172,867
560,171,861
560,173,871
560,167,894
560,172,849
570,181,907
570,179,897
570,177,916
570,177,923
570,185,902
580,184,963
580,185,963
580,182,965
580,182,948
580,191,939
590,195,1057
590,192,1040
590,187,1029
590,196,1018
590,196,1020
600,197,1067
600,196,1078
600,196,1050
600,193,1091
600,199,1114
610,204,1133
610,211,1227
610,204,1121
610,202,1138
610,202,1110
620,213,1194
620,215,1200
620,208,1195
620,215,1179
620,212,1228
630,222,1289
630,223,1239
630,219,1262
630,231,1256
630,223,1233
640,228,1306
640,229,1296
640,227,1308
640,249,1327
640,231,1311
650,237,1373
650,237,1357
650,236,1375
650,237,1417
650,237,1397
660,252,1452
660,243,1446
660,247,1419
660,250,1431
660,244,1446
670,260,1532
670,256,1541
670,261,1512
670,254,1504
670,258,1501
680,268,1636
680,264,1593
680,269,1562
680,265,1572
680,267,1583
690,273,1702
690,274,1661
690,279,1666
690,274,1661
690,274,1654
700,283,1790
700,288,1776
700,288,1736
700,281,1723
700,285,1760
710,291,1894
710,302,1894
710,295,1882
710,290,1804
710,297,1862
720,308,1881
720,302,1913
720,303,1856
720,311,1959
720,304,2035
730,316,1979
730,315,2236
730,379,2341
730,326,2025
730,313,2097
740,327,2123
740,338,2202
740,328,2138
740,331,2132
740,324,2071
750,346,2158
750,347,2206
750,339,2167
750,340,2210
750,342,2157
760,356,2344
760,354,2231
760,358,2303
760,361,2255
760,353,2237
770,363,2382
770,369,2379
770,373,2375
770,370,2349
770,363,2416
780,378,2477
780,377,2508
780,377,2531
780,389,2495
780,378,2491
790,387,2631
790,389,2621
790,392,2581
790,394,2626
790,395,2694
800,415,2681
800,403,2705
800,407,2695
800,408,2702
800,401,2754
810,559,2875
810,554,2834
810,535,2841
810,542,2846
810,584,2801
820,553,2952
820,557,2943
820,546,2915
820,578,2990
820,567,2923
830,580,3043
830,604,3096
830,582,3034
830,567,3074
830,586,3068
840,574,3155
840,593,3202
840,596,3133
840,600,3280
840,588,3116
850,617,3333
850,620,3320
850,604,3307
850,604,3308
850,603,3481
860,614,3436
860,611,3473
860,617,3469
860,636,3613
860,631,3435
870,642,3618
870,639,3717
870,653,3740
870,643,3723
870,637,3640
880,665,3754
880,663,3755
880,661,3725
880,650,4158
880,650,3726
890,664,3954
890,684,3947
890,686,4041
890,709,3889
890,663,3910
900,701,4155
900,704,4089
900,698,4271
900,699,4093
900,703,4235
910,714,4343
910,729,4378
910,724,4583
910,758,4456
910,737,4468
920,769,4660
920,759,4681
920,749,4443
920,760,4612
920,758,4690
930,784,4838
930,755,4879
930,756,4863
930,758,4872
930,741,4896
940,775,5130
940,780,5059
940,775,5057
940,779,5024
940,787,5063
950,830,5243
950,821,5223
950,804,5207
950,815,5226
950,831,5272
960,834,5408
960,847,5388
960,844,5395
960,845,5383
960,864,5435
970,885,5836
970,878,5689
970,866,5807
970,867,5762
970,867,5866
980,906,6009
980,871,6094
980,867,6068
980,869,6045
980,884,9118
990,892,6152
990,888,6207
990,896,6258
990,920,6313
990,920,6251
