matrix dimension,Strassen,Standard
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
16,1,1
16,1,0
16,1,0
16,1,0
16,1,0
32,7,2
32,7,2
32,7,2
32,6,2
32,6,2
64,40,10
64,39,10
64,40,10
64,41,9
64,40,9
128,259,42
128,258,42
128,259,42
128,259,43
128,263,44
256,1827,186
256,1738,189
256,1776,185
256,1751,188
256,1730,187
512,11870,931
512,11974,947
512,11972,934
512,11974,947
512,12014,938
1024,82142,5115
1024,81943,5137
1024,81947,5185
1024,81977,5094
1024,82164,5155
