matrix dimension,Strassen,Standard
360,45,237
360,43,211
360,46,235
370,47,252
370,47,258
370,47,247
370,48,220
370,47,258
380,54,274
380,53,278
380,51,247
380,50,250
380,53,265
390,54,274
390,54,266
390,55,274
390,55,260
390,54,258
400,57,289
400,60,283
400,57,280
400,62,300
400,58,292
410,82,315
410,81,312
410,81,307
410,80,316
410,84,308
420,87,351
420,98,336
420,84,337
420,84,349
420,84,327
430,87,382
430,90,357
430,93,369
430,88,361
430,87,362
440,97,399
440,92,399
440,95,395
440,95,388
440,97,392
450,99,476
450,101,463
450,101,462
450,103,462
450,102,466
460,105,497
460,106,509
460,105,517
460,106,490
460,102,508
470,110,529
470,114,538
470,111,526
470,111,543
470,116,520
480,115,553
480,115,554
480,119,564
480,118,588
480,118,579
490,123,583
490,123,634
490,121,619
490,121,617
490,121,594
500,125,656
500,128,660
500,126,626
500,127,638
500,128,646
510,135,688
510,133,694
510,131,665
510,133,689
510,142,712
520,144,666
520,142,673
520,146,691
520,142,669
520,143,660
530,148,722
530,143,725
530,146,734
530,156,731
530,147,736
540,153,775
540,153,760
540,152,771
540,158,761
540,153,746
550,162,807
550,163,816
550,163,816
550,168,826
550,166,802
560,168,860
560,166,870
560,169,856
560,174,847
560,195,864
570,178,907
570,174,910
570,173,916
570,175,908
570,176,913
580,179,999
580,176,950
580,183,958
580,181,959
580,177,964
590,187,1015
590,187,1009
590,189,1012
590,194,1067
590,187,995
600,194,1074
600,192,1069
600,199,1087
600,195,1108
600,197,1118
610,200,1137
610,201,1141
610,202,1110
610,199,1122
610,204,1143
620,209,1234
620,213,1228
620,214,1236
620,206,1208
620,211,1183
630,215,1237
630,219,1250
630,213,1243
630,218,1259
630,216,1286
640,228,1367
640,224,1312
640,223,1332
640,229,1319
640,225,1374
650,234,1391
650,234,1369
650,235,1398
650,238,1413
650,234,1393
660,244,1434
660,241,1443
660,246,1437
660,240,1473
660,243,1466
670,255,1511
670,254,1508
670,255,1521
670,257,1502
670,253,1537
680,265,1619
680,261,1576
680,255,1567
680,260,1575
680,262,1641
690,267,1700
690,274,1670
690,269,1658
690,276,1650
690,280,1689
700,277,1744
700,277,1729
700,279,1727
700,278,1730
700,281,1739
710,294,1845
710,288,1808
710,295,1796
710,292,1848
710,298,1840
720,305,1905
720,299,1836
720,303,1957
720,305,2098
720,298,1925
730,309,2017
730,315,1998
730,314,2106
730,312,1936
730,316,2004
740,321,2114
740,324,2157
740,321,2096
740,319,2075
740,325,2109
750,331,2301
750,339,2253
750,337,2134
750,339,2166
750,339,2173
760,353,2297
760,344,2287
760,345,2368
760,353,2237
760,347,2268
770,357,2372
770,362,2383
770,365,2385
770,363,2428
770,368,2412
780,375,2587
780,372,2521
780,377,2515
780,376,2497
780,371,2508
790,388,2613
790,390,2620
790,389,2566
790,384,2563
790,391,2637
800,399,2712
800,398,2748
800,410,2729
800,415,2702
800,394,2711
810,547,2813
810,554,2781
810,548,2822
810,548,2837
810,543,2803
820,552,2941
820,572,2965
820,550,2914
820,573,3002
820,559,2947
830,569,3049
830,576,3108
830,585,3064
830,609,3061
830,583,3099
840,589,3145
840,586,3252
840,603,3316
840,592,3283
840,595,3203
850,598,3302
850,612,3389
850,616,3323
850,597,3522
850,628,3361
860,610,3515
860,646,3488
860,638,3412
860,621,3534
860,630,3413
870,648,3646
870,639,3579
870,652,3695
870,650,3633
870,649,3576
880,670,4113
880,671,3889
880,681,4215
880,657,3766
880,670,3736
890,670,3942
890,680,4318
890,675,3880
890,686,4418
890,673,4004
900,698,4188
900,693,4198
900,695,4074
900,706,4060
900,717,4117
910,718,4398
910,721,4393
910,726,4439
910,740,4386
910,734,4257
920,760,4696
920,761,4559
920,754,4574
920,753,4680
920,796,4515
930,766,4845
930,778,4819
930,759,4767
930,772,4853
930,751,4846
940,788,5001
940,775,4999
940,800,5025
940,788,5017
940,805,4955
950,845,5197
950,814,5184
950,832,5175
950,843,5198
950,811,5226
960,844,5402
960,835,5366
960,841,5383
960,837,5354
960,821,5382
970,841,8797
970,854,5744
970,860,5891
970,898,5836
970,847,5871
980,878,6083
980,890,6109
980,901,6115
980,873,6122
980,875,6082
990,916,7147
990,1022,6634
990,941,6292
990,968,6477
990,979,6306
