100,5,4
110,6,5
120,6,5
130,8,8
140,9,10
150,11,11
160,12,13
170,15,16
180,17,20
190,20,24
200,24,39
210,28,45
220,34,58
230,40,60
240,44,70
250,45,87
260,51,70
270,58,80
280,63,90
290,69,98
300,79,111
310,89,123
320,92,136
330,100,173
340,110,195
350,118,212
360,126,200
370,137,253
380,159,285
390,163,270
400,173,288
410,193,302
420,204,337
430,219,358
440,232,389
450,251,459
460,263,500
470,283,535
480,297,552
490,315,594
